id_trx;no_invoice;total_berat;ongkos_kirim;total_harga;total_harga_beli;kode_user;alamat_penerima;tgl_kirim;id_ekspedisi;jenis_pengiriman;tgl_trx
2;INV-100000002;1892;54000;3063500;2900000;185713;Jalan L No. 148, Kel Sumengko, Kec Kedungpring, Kab Kabupaten Lamongan Jawa Timur, 62272;02/01/2019 09.40;5;REG;01/01/2019 12.31
4;INV-100000004;1030;42000;2197250;2075000;52473;Jalan Q No. 61, Kel Sumberadi, Kec Mlati, Kab Kabupaten Sleman DI Yogyakarta, 55288;02/01/2019 16.31;5;REG;01/01/2019 21.51
6;INV-100000006;3694;108000;1702250;1622500;52243;Jalan M No. 95, Kel Bayemgede, Kec Kepoh Baru, Kab Kabupaten Bojonegoro Jawa Timur, 62194;02/01/2019 09.18;1;REG;01/01/2019 01.31
8;INV-100000008;2450;63000;968000;880000;229109;Jalan N No. 32, Kel Jiworejo, Kec Jiken, Kab Kabupaten Blora Jawa Tengah, 58372;02/01/2019 14.00;5;REG;01/01/2019 01.43
10;INV-100000010;3192;84000;2590500;2550000;149832;Jalan L No. 87, Kel Baturetno, Kec Banguntapan, Kab Kabupaten Bantul DI Yogyakarta, 55197;03/01/2019 12.36;3;REG;02/01/2019 20.22
12;INV-100000012;640;21000;665500;605000;70346;Jalan B No. 115, Kel Kedunggading, Kec Ringinarum, Kab Kabupaten Kendal Jawa Tengah, 51356;03/01/2019 10.59;3;REG;02/01/2019 01.24
14;INV-100000014;9332;210000;4059000;3690000;35427;Jalan E No. 119, Kel Palimanan Barat, Kec Gempol, Kab Kabupaten Cirebon Jawa Barat, 45161;03/01/2019 12.21;5;REG;02/01/2019 11.33
16;INV-100000016;850;27000;3905000;3550000;66747;Jalan Q No. 124, Kel Prenduan, Kec Pragaan, Kab Kabupaten Sumenep Jawa Timur, 69465;03/01/2019 10.52;1;REG;02/01/2019 20.57
18;INV-100000018;2972;81000;2101000;1960000;33636;Jalan J No. 147, Kel Prayungan, Kec Sumberrejo, Kab Kabupaten Bojonegoro Jawa Timur, 62191;03/01/2019 10.25;3;REG;02/01/2019 22.17
20;INV-100000020;5082;162000;1760000;1640000;194315;Jalan K No. 50, Kel Waru Gunung, Kec Karangpilang, Kab Kota Surabaya Jawa Timur, 60221;03/01/2019 13.15;5;REG;02/01/2019 18.34
22;INV-100000022;287;21000;605000;550000;103906;Jalan X No. 30, Kel Tegalmade, Kec Mojolaban, Kab Kabupaten Sukoharjo Jawa Tengah, 57554;03/01/2019 16.45;2;REG;02/01/2019 06.16
